    4096 ,      8 ,     105.32
    4096 ,     32 ,     106.38
    4096 ,     64 ,     104.21
    4096 ,    128 ,     105.57
    4096 ,    256 ,     105.35
   16384 ,      8 ,     409.68
   16384 ,     32 ,     426.73
   16384 ,     64 ,     423.09
   16384 ,    128 ,     430.04
   16384 ,    256 ,     413.21
   65536 ,      8 ,    1314.17
   65536 ,     32 ,    1618.14
   65536 ,     64 ,    1684.65
   65536 ,    128 ,    1677.34
   65536 ,    256 ,    1676.62
  262144 ,      8 ,     863.86
  262144 ,     32 ,     996.91
  262144 ,     64 ,     972.72
  262144 ,    128 ,    1036.81
  262144 ,    256 ,     985.65
 1048576 ,      8 ,    1576.68
 1048576 ,     32 ,    2109.48
 1048576 ,     64 ,    2192.01
 1048576 ,    128 ,    2210.77
 1048576 ,    256 ,    2240.63
 4194304 ,      8 ,    3181.46
 4194304 ,     32 ,    5729.34
 4194304 ,     64 ,    6906.66
 4194304 ,    128 ,    6707.30
 4194304 ,    256 ,    7083.80
