1024,8,21.7391,84.38
1024,16,22.7273,84.38
1024,32,21.7391,84.67
1024,64,23.2558,83.50
1024,128,20.8333,83.50
1024,256,23.2558,84.38
4096,8,75.4717,83.08
4096,16,75.4717,82.59
4096,32,78.4314,84.20
4096,64,88.8889,84.30
4096,128,78.4314,85.16
4096,256,75.4717,83.81
16384,8,313.7255,83.56
16384,16,340.4255,83.89
16384,32,340.4255,84.08
16384,64,347.8261,83.87
16384,128,340.4255,83.69
16384,256,340.4255,83.61
65536,8,1101.6676,83.91
65536,16,1195.5633,83.48
65536,32,1326.4249,83.76
65536,64,1297.8454,83.96
65536,128,1073.9381,83.87
65536,256,1327.2845,83.85
262144,8,2391.1267,83.80
262144,16,3207.5178,83.90
262144,32,3838.8005,83.73
262144,64,4244.5595,83.83
262144,128,4420.9390,83.96
262144,256,4615.2112,83.80
1048576,8,3854.1520,83.77
1048576,16,6554.9108,83.77
1048576,32,9314.3831,83.78
1048576,64,11417.4217,83.83
1048576,128,13138.7335,83.83
1048576,256,13320.3246,83.75
2097152,8,4262.2269,83.78
2097152,16,7590.4563,83.82
2097152,32,13165.1261,83.84
2097152,64,17746.0062,83.78
2097152,128,20911.2947,83.83
2097152,256,20831.5323,83.81
