 1 ,  331 ,    2 ,   78.483:
 1 ,  331 ,    3 ,  113.538:
 1 ,  331 ,    4 ,  137.387:
 1 ,  331 ,    5 ,  134.629:
 1 ,  331 ,   10 ,  172.657:
 1 ,  331 ,   15 ,  152.422:
 1 ,  331 ,   20 ,  187.892:
 1 ,  331 ,   30 ,  185.400:
 1 ,  331 ,   40 ,  208.563:
 1 ,  331 ,   50 ,  203.025:
 2 ,  331 ,    2 ,   29.224:
 2 ,  331 ,    3 ,   33.045:
 2 ,  331 ,    4 ,   41.709:
 2 ,  331 ,    5 ,   49.453:
 2 ,  331 ,   10 ,   39.066:
 2 ,  331 ,   15 ,  146.270:
 2 ,  331 ,   20 ,  193.206:
 2 ,  331 ,   30 ,  260.091:
 2 ,  331 ,   40 ,  251.663:
 2 ,  331 ,   50 ,  306.391:
 4 ,  331 ,    2 ,   23.007:
 4 ,  331 ,    3 ,   16.148:
 4 ,  331 ,    4 ,   24.362:
 4 ,  331 ,    5 ,   35.265:
 4 ,  331 ,   10 ,   70.367:
 4 ,  331 ,   15 ,   98.769:
 4 ,  331 ,   20 ,  149.062:
 4 ,  331 ,   30 ,  232.585:
 4 ,  331 ,   40 ,  298.507:
 4 ,  331 ,   50 ,  436.779:
 6 ,  331 ,    2 ,   18.593:
 6 ,  331 ,    3 ,   16.200:
 6 ,  331 ,    4 ,   20.625:
 6 ,  331 ,    5 ,   27.877:
 6 ,  331 ,   10 ,   55.411:
 6 ,  331 ,   15 ,   89.025:
 6 ,  331 ,   20 ,  118.451:
 6 ,  331 ,   30 ,  196.517:
 6 ,  331 ,   40 ,  286.246:
 6 ,  331 ,   50 ,  308.176:
 8 ,  331 ,    2 ,   10.019:
 8 ,  331 ,    3 ,   13.083:
 8 ,  331 ,    4 ,   19.803:
 8 ,  331 ,    5 ,   21.715:
 8 ,  331 ,   10 ,   43.938:
 8 ,  331 ,   15 ,   65.395:
 8 ,  331 ,   20 ,   95.547:
 8 ,  331 ,   30 ,  121.465:
 8 ,  331 ,   40 ,  194.677:
 8 ,  331 ,   50 ,  234.832:
