 1 ,  331 ,    2 ,   76.267:
 1 ,  331 ,    3 ,   97.362:
 1 ,  331 ,    4 ,  113.961:
 1 ,  331 ,    5 ,  141.489:
 1 ,  331 ,   10 ,  160.376:
 1 ,  331 ,   15 ,  109.015:
 1 ,  331 ,   20 ,  167.705:
 1 ,  331 ,   30 ,  163.710:
 1 ,  331 ,   40 ,  178.180:
 1 ,  331 ,   50 ,  204.936:
 2 ,  331 ,    2 ,   23.315:
 2 ,  331 ,    3 ,   31.968:
 2 ,  331 ,    4 ,   40.670:
 2 ,  331 ,    5 ,   46.430:
 2 ,  331 ,   10 ,   88.375:
 2 ,  331 ,   15 ,  132.231:
 2 ,  331 ,   20 ,  181.300:
 2 ,  331 ,   30 ,  261.708:
 2 ,  331 ,   40 ,  294.445:
 2 ,  331 ,   50 ,  289.594:
 4 ,  331 ,    2 ,   21.362:
 4 ,  331 ,    3 ,   20.959:
 4 ,  331 ,    4 ,   22.524:
 4 ,  331 ,    5 ,   36.106:
 4 ,  331 ,   10 ,   63.926:
 4 ,  331 ,   15 ,   97.696:
 4 ,  331 ,   20 ,  146.486:
 4 ,  331 ,   30 ,  210.909:
 4 ,  331 ,   40 ,  303.009:
 4 ,  331 ,   50 ,  301.166:
 6 ,  331 ,    2 ,   18.398:
 6 ,  331 ,    3 ,   14.832:
 6 ,  331 ,    4 ,   19.267:
 6 ,  331 ,    5 ,   25.921:
 6 ,  331 ,   10 ,   53.471:
 6 ,  331 ,   15 ,   78.007:
 6 ,  331 ,   20 ,  117.060:
 6 ,  331 ,   30 ,  167.042:
 6 ,  331 ,   40 ,   24.806:
 6 ,  331 ,   50 ,  266.665:
 8 ,  331 ,    2 ,   11.676:
 8 ,  331 ,    3 ,   12.478:
 8 ,  331 ,    4 ,   17.310:
 8 ,  331 ,    5 ,   21.013:
 8 ,  331 ,   10 ,   46.427:
 8 ,  331 ,   15 ,   67.855:
 8 ,  331 ,   20 ,   94.642:
 8 ,  331 ,   30 ,  135.220:
 8 ,  331 ,   40 ,  199.659:
 8 ,  331 ,   50 ,  217.829:
