 1 ,  331 ,    2 ,   80.281:
 1 ,  331 ,    3 ,   61.258:
 1 ,  331 ,    4 ,  109.340:
 1 ,  331 ,    5 ,  118.621:
 1 ,  331 ,   10 ,  131.574:
 1 ,  331 ,   15 ,  139.349:
 1 ,  331 ,   20 ,  172.468:
 1 ,  331 ,   30 ,  179.676:
 1 ,  331 ,   40 ,  179.448:
 1 ,  331 ,   50 ,  159.544:
 2 ,  331 ,    2 ,   27.460:
 2 ,  331 ,    3 ,   32.680:
 2 ,  331 ,    4 ,   45.473:
 2 ,  331 ,    5 ,   55.861:
 2 ,  331 ,   10 ,   82.626:
 2 ,  331 ,   15 ,  135.150:
 2 ,  331 ,   20 ,  199.940:
 2 ,  331 ,   30 ,  259.798:
 2 ,  331 ,   40 ,  269.846:
 2 ,  331 ,   50 ,  304.368:
 4 ,  331 ,    2 ,   20.432:
 4 ,  331 ,    3 ,   16.501:
 4 ,  331 ,    4 ,   25.852:
 4 ,  331 ,    5 ,   35.241:
