 1,  331,    2,   75.510
 1,  331,    3,   97.900
 1,  331,    4,  120.638
 1,  331,    5,  137.174
 1,  331,   10,  157.679
 1,  331,   15,  140.001
 1,  331,   20,  153.993
 1,  331,   30,  162.998
 1,  331,   40,  177.821
 1,  331,   50,  194.482
 2,  331,    2,   23.504
 2,  331,    3,   33.118
 2,  331,    4,   36.789
 2,  331,    5,   54.083
 2,  331,   10,   82.822
 2,  331,   15,  129.102
 2,  331,   20,  174.919
 2,  331,   30,  229.457
 2,  331,   40,  277.045
 2,  331,   50,  313.714
 4,  331,    2,   13.635
 4,  331,    3,   17.328
 4,  331,    4,   24.614
 4,  331,    5,   33.646
 4,  331,   10,   67.882
 4,  331,   15,  103.496
 4,  331,   20,  142.030
 4,  331,   30,  233.642
 4,  331,   40,  328.218
 4,  331,   50,  315.773
 6,  331,    2,   10.259
 6,  331,    3,   14.071
 6,  331,    4,   18.918
 6,  331,    5,   27.038
 6,  331,   10,   48.671
 6,  331,   15,   61.305
 6,  331,   20,  107.756
 6,  331,   30,  170.341
 6,  331,   40,  213.835
 6,  331,   50,  288.534
 8,  331,    2,    8.572
 8,  331,    3,   13.238
 8,  331,    4,   17.055
 8,  331,    5,   21.997
 8,  331,   10,   42.876
 8,  331,   15,   70.939
 8,  331,   20,   70.971
 8,  331,   30,  154.276
 8,  331,   40,  206.096
 8,  331,   50,  237.514
