 1 ,  331 ,    2 ,   76.153:
 1 ,  331 ,    3 ,   95.033:
 1 ,  331 ,    4 ,  117.106:
 1 ,  331 ,    5 ,  127.947:
 1 ,  331 ,   10 ,  152.058:
 1 ,  331 ,   15 ,  139.891:
 1 ,  331 ,   20 ,  154.018:
 1 ,  331 ,   30 ,  179.709:
 1 ,  331 ,   40 ,  182.051:
 1 ,  331 ,   50 ,  188.512:
 2 ,  331 ,    2 ,   23.352:
 2 ,  331 ,    3 ,   34.685:
 2 ,  331 ,    4 ,   38.335:
 2 ,  331 ,    5 ,   49.363:
 2 ,  331 ,   10 ,   96.336:
 2 ,  331 ,   15 ,  138.467:
 2 ,  331 ,   20 ,  181.474:
 2 ,  331 ,   30 ,  258.614:
 2 ,  331 ,   40 ,  282.477:
 2 ,  331 ,   50 ,  332.349:
 4 ,  331 ,    2 ,   13.128:
 4 ,  331 ,    3 ,   21.190:
 4 ,  331 ,    4 ,   24.130:
 4 ,  331 ,    5 ,   31.858:
 4 ,  331 ,   10 ,   72.175:
 4 ,  331 ,   15 ,   90.811:
 4 ,  331 ,   20 ,  150.059:
 4 ,  331 ,   30 ,  222.431:
 4 ,  331 ,   40 ,  299.703:
 4 ,  331 ,   50 ,  411.825:
 6 ,  331 ,    2 ,    9.584:
 6 ,  331 ,    3 ,   15.919:
 6 ,  331 ,    4 ,   20.282:
 6 ,  331 ,    5 ,   23.233:
 6 ,  331 ,   10 ,   50.646:
 6 ,  331 ,   15 ,   80.614:
 6 ,  331 ,   20 ,  118.587:
 6 ,  331 ,   30 ,  173.635:
 6 ,  331 ,   40 ,  251.735:
 6 ,  331 ,   50 ,  303.025:
 8 ,  331 ,    2 ,    8.293:
 8 ,  331 ,    3 ,   13.004:
 8 ,  331 ,    4 ,   16.522:
 8 ,  331 ,    5 ,   23.506:
 8 ,  331 ,   10 ,   49.778:
 8 ,  331 ,   15 ,   81.724:
 8 ,  331 ,   20 ,   90.689:
 8 ,  331 ,   30 ,  134.017:
 8 ,  331 ,   40 ,  190.770:
 8 ,  331 ,   50 ,  247.288:
